project,date,pageviews
sk.wikipedia,2022-03-09,612784
sk.wikipedia,2022-03-10,597179
sk.wikipedia,2022-03-11,518799
sk.wikipedia,2022-03-12,542051
sk.wikipedia,2022-03-13,639536
sk.wikipedia,2022-03-14,667615
sk.wikipedia,2022-03-15,602897
sk.wikipedia,2022-03-16,615326
sk.wikipedia,2022-03-17,593073
sk.wikipedia,2022-03-18,502919
sk.wikipedia,2022-03-19,492785
sk.wikipedia,2022-03-20,610367
sk.wikipedia,2022-03-21,615951
sk.wikipedia,2022-03-22,590512
sk.wikipedia,2022-03-23,591623
sk.wikipedia,2022-03-24,571779
sk.wikipedia,2022-03-25,479897
sk.wikipedia,2022-03-26,453913
sk.wikipedia,2022-03-27,563829
sk.wikipedia,2022-03-28,586214
sk.wikipedia,2022-03-29,586476
sk.wikipedia,2022-03-30,603130
sk.wikipedia,2022-03-31,607422
sk.wikipedia,2022-04-01,520240
sk.wikipedia,2022-04-02,514638
sk.wikipedia,2022-04-03,629726
sk.wikipedia,2022-04-04,586893
sk.wikipedia,2022-04-05,570965
sk.wikipedia,2022-04-06,552846
sk.wikipedia,2022-04-07,533305
sk.wikipedia,2022-04-08,481071
sk.wikipedia,2022-04-09,503158
sk.wikipedia,2022-04-10,588732
sk.wikipedia,2022-04-11,595051
sk.wikipedia,2022-04-12,535793
sk.wikipedia,2022-04-13,433676
sk.wikipedia,2022-04-14,395262
sk.wikipedia,2022-04-15,517303
sk.wikipedia,2022-04-16,492821
sk.wikipedia,2022-04-17,549538
sk.wikipedia,2022-04-18,562668
sk.wikipedia,2022-04-19,593949
sk.wikipedia,2022-04-20,562693
sk.wikipedia,2022-04-21,544126
sk.wikipedia,2022-04-22,490212
sk.wikipedia,2022-04-23,455065
sk.wikipedia,2022-04-24,611001
sk.wikipedia,2022-04-25,604295
sk.wikipedia,2022-04-26,575660
sk.wikipedia,2022-04-27,592864
sk.wikipedia,2022-04-28,534542
sk.wikipedia,2022-04-29,432347
sk.wikipedia,2022-04-30,397761
sk.wikipedia,2022-05-01,544309
sk.wikipedia,2022-05-02,554269
sk.wikipedia,2022-05-03,553345
sk.wikipedia,2022-05-04,550069
sk.wikipedia,2022-05-05,527433
sk.wikipedia,2022-05-06,463828
sk.wikipedia,2022-05-07,444959
sk.wikipedia,2022-05-08,557826
sk.wikipedia,2022-05-09,577416
sk.wikipedia,2022-05-10,535578
sk.wikipedia,2022-05-11,524576
sk.wikipedia,2022-05-12,504130
sk.wikipedia,2022-05-13,451029
sk.wikipedia,2022-05-14,404660
sk.wikipedia,2022-05-15,513402
sk.wikipedia,2022-05-16,554126
sk.wikipedia,2022-05-17,593745
sk.wikipedia,2022-05-18,541016
sk.wikipedia,2022-05-19,516486
sk.wikipedia,2022-05-20,444352
sk.wikipedia,2022-05-21,431761
sk.wikipedia,2022-05-22,547609
sk.wikipedia,2022-05-23,566869
sk.wikipedia,2022-05-24,584224
sk.wikipedia,2022-05-25,578313
sk.wikipedia,2022-05-26,548666
sk.wikipedia,2022-05-27,458138
sk.wikipedia,2022-05-28,445237
sk.wikipedia,2022-05-29,614575
sk.wikipedia,2022-05-30,575040
sk.wikipedia,2022-05-31,512280
sk.wikipedia,2022-06-01,478154
sk.wikipedia,2022-06-02,496882
sk.wikipedia,2022-06-03,403472
sk.wikipedia,2022-06-04,418474
sk.wikipedia,2022-06-05,518193
sk.wikipedia,2022-06-06,566501
sk.wikipedia,2022-06-07,557859
sk.wikipedia,2022-06-08,546271
sk.wikipedia,2022-06-09,535014
sk.wikipedia,2022-06-10,439536
sk.wikipedia,2022-06-11,388876
sk.wikipedia,2022-06-12,511379
sk.wikipedia,2022-06-13,561442
sk.wikipedia,2022-06-14,521901
sk.wikipedia,2022-06-15,495183
sk.wikipedia,2022-06-16,479456
sk.wikipedia,2022-06-17,383463
sk.wikipedia,2022-06-18,346561
sk.wikipedia,2022-06-19,438505
sk.wikipedia,2022-06-20,437602
sk.wikipedia,2022-06-21,424433
sk.wikipedia,2022-06-22,382861
sk.wikipedia,2022-06-23,360080
sk.wikipedia,2022-06-24,332288
sk.wikipedia,2022-06-25,327446
sk.wikipedia,2022-06-26,347953
sk.wikipedia,2022-06-27,341325
sk.wikipedia,2022-06-28,333005
sk.wikipedia,2022-06-29,322110
sk.wikipedia,2022-06-30,312996
sk.wikipedia,2022-07-01,310883
sk.wikipedia,2022-07-02,314526
sk.wikipedia,2022-07-03,349843
sk.wikipedia,2022-07-04,353508
sk.wikipedia,2022-07-05,428777
sk.wikipedia,2022-07-06,354387
sk.wikipedia,2022-07-07,345704
sk.wikipedia,2022-07-08,372832
sk.wikipedia,2022-07-09,336605
sk.wikipedia,2022-07-10,377672
sk.wikipedia,2022-07-11,365663
sk.wikipedia,2022-07-12,346904
sk.wikipedia,2022-07-13,333724
sk.wikipedia,2022-07-14,332784
sk.wikipedia,2022-07-15,344089
sk.wikipedia,2022-07-16,324323
sk.wikipedia,2022-07-17,356481
sk.wikipedia,2022-07-18,336171
sk.wikipedia,2022-07-19,325835
sk.wikipedia,2022-07-20,328224
sk.wikipedia,2022-07-21,338061
sk.wikipedia,2022-07-22,333738
sk.wikipedia,2022-07-23,330264
sk.wikipedia,2022-07-24,364210
sk.wikipedia,2022-07-25,342736
sk.wikipedia,2022-07-26,366792
sk.wikipedia,2022-07-27,350523
sk.wikipedia,2022-07-28,339088
sk.wikipedia,2022-07-29,339368
sk.wikipedia,2022-07-30,376929
sk.wikipedia,2022-07-31,405463
sk.wikipedia,2022-08-01,363141
sk.wikipedia,2022-08-02,363049
sk.wikipedia,2022-08-03,348090
sk.wikipedia,2022-08-04,340238
sk.wikipedia,2022-08-05,337509
sk.wikipedia,2022-08-06,358557
sk.wikipedia,2022-08-07,381565
sk.wikipedia,2022-08-08,385212
sk.wikipedia,2022-08-09,361958
sk.wikipedia,2022-08-10,360648
sk.wikipedia,2022-08-11,363264
sk.wikipedia,2022-08-12,352522
sk.wikipedia,2022-08-13,349798
sk.wikipedia,2022-08-14,379336
sk.wikipedia,2022-08-15,364616
sk.wikipedia,2022-08-16,383572
sk.wikipedia,2022-08-17,346984
sk.wikipedia,2022-08-18,349028
sk.wikipedia,2022-08-19,364479
sk.wikipedia,2022-08-20,375516
sk.wikipedia,2022-08-21,430808
sk.wikipedia,2022-08-22,386004
sk.wikipedia,2022-08-23,363425
sk.wikipedia,2022-08-24,351006
sk.wikipedia,2022-08-25,338007
sk.wikipedia,2022-08-26,355139
sk.wikipedia,2022-08-27,347283
sk.wikipedia,2022-08-28,405803
sk.wikipedia,2022-08-29,410247
sk.wikipedia,2022-08-30,359896
sk.wikipedia,2022-08-31,369509
sk.wikipedia,2022-09-01,378095
sk.wikipedia,2022-09-02,341829
sk.wikipedia,2022-09-03,344117
sk.wikipedia,2022-09-04,380833
sk.wikipedia,2022-09-05,328286
sk.wikipedia,2022-09-06,345817
sk.wikipedia,2022-09-07,362125
sk.wikipedia,2022-09-08,483736
sk.wikipedia,2022-09-09,490360
sk.wikipedia,2022-09-10,440365
sk.wikipedia,2022-09-11,494472
sk.wikipedia,2022-09-12,434778
sk.wikipedia,2022-09-13,428119
sk.wikipedia,2022-09-14,420169
sk.wikipedia,2022-09-15,483759
sk.wikipedia,2022-09-16,407197
sk.wikipedia,2022-09-17,429846
sk.wikipedia,2022-09-18,521648
sk.wikipedia,2022-09-19,623386
sk.wikipedia,2022-09-20,517672
sk.wikipedia,2022-09-21,485983
sk.wikipedia,2022-09-22,466906
sk.wikipedia,2022-09-23,414235
sk.wikipedia,2022-09-24,422535
sk.wikipedia,2022-09-25,566599
sk.wikipedia,2022-09-26,534370
sk.wikipedia,2022-09-27,523463
sk.wikipedia,2022-09-28,501333
sk.wikipedia,2022-09-29,487412
sk.wikipedia,2022-09-30,443963
sk.wikipedia,2022-10-01,467538
sk.wikipedia,2022-10-02,545320
sk.wikipedia,2022-10-03,509741
sk.wikipedia,2022-10-04,539686
sk.wikipedia,2022-10-05,522452
sk.wikipedia,2022-10-06,493408
sk.wikipedia,2022-10-07,418802
sk.wikipedia,2022-10-08,402474
sk.wikipedia,2022-10-09,525697
sk.wikipedia,2022-10-10,524374
sk.wikipedia,2022-10-11,527831
sk.wikipedia,2022-10-12,512379
sk.wikipedia,2022-10-13,491833
sk.wikipedia,2022-10-14,439868
sk.wikipedia,2022-10-15,444074
sk.wikipedia,2022-10-16,539091
sk.wikipedia,2022-10-17,525352
sk.wikipedia,2022-10-18,525912
sk.wikipedia,2022-10-19,532760
sk.wikipedia,2022-10-20,532081
sk.wikipedia,2022-10-21,453898
sk.wikipedia,2022-10-22,480911
sk.wikipedia,2022-10-23,572342
sk.wikipedia,2022-10-24,573535
sk.wikipedia,2022-10-25,569795
sk.wikipedia,2022-10-26,539006
sk.wikipedia,2022-10-27,453936
sk.wikipedia,2022-10-28,486476
sk.wikipedia,2022-10-29,473327
sk.wikipedia,2022-10-30,544324
sk.wikipedia,2022-10-31,498435
sk.wikipedia,2022-11-01,601506
sk.wikipedia,2022-11-02,566487
sk.wikipedia,2022-11-03,563596
sk.wikipedia,2022-11-04,488919
sk.wikipedia,2022-11-05,515811
sk.wikipedia,2022-11-06,616260
sk.wikipedia,2022-11-07,594072
sk.wikipedia,2022-11-08,584482
sk.wikipedia,2022-11-09,579688
sk.wikipedia,2022-11-10,563317
sk.wikipedia,2022-11-11,469962
sk.wikipedia,2022-11-12,480585
sk.wikipedia,2022-11-13,647230
sk.wikipedia,2022-11-14,585769
sk.wikipedia,2022-11-15,567699
sk.wikipedia,2022-11-16,485353
sk.wikipedia,2022-11-17,571649
sk.wikipedia,2022-11-18,505643
sk.wikipedia,2022-11-19,523749
sk.wikipedia,2022-11-20,636101
sk.wikipedia,2022-11-21,611116
sk.wikipedia,2022-11-22,600459
sk.wikipedia,2022-11-23,621973
sk.wikipedia,2022-11-24,584093
sk.wikipedia,2022-11-25,474132
sk.wikipedia,2022-11-26,498174
sk.wikipedia,2022-11-27,599124
sk.wikipedia,2022-11-28,587844
sk.wikipedia,2022-11-29,570711
sk.wikipedia,2022-11-30,544874
sk.wikipedia,2022-12-01,519905
sk.wikipedia,2022-12-02,410141
sk.wikipedia,2022-12-03,449851
sk.wikipedia,2022-12-04,517722
sk.wikipedia,2022-12-05,481914
sk.wikipedia,2022-12-06,505561
sk.wikipedia,2022-12-07,476351
sk.wikipedia,2022-12-08,459995
sk.wikipedia,2022-12-09,432532
sk.wikipedia,2022-12-10,473943
sk.wikipedia,2022-12-11,506897
sk.wikipedia,2022-12-12,477667
sk.wikipedia,2022-12-13,501745
sk.wikipedia,2022-12-14,492288
sk.wikipedia,2022-12-15,454485
sk.wikipedia,2022-12-16,400140
sk.wikipedia,2022-12-17,407889
sk.wikipedia,2022-12-18,523705
sk.wikipedia,2022-12-19,466873
sk.wikipedia,2022-12-20,430178
sk.wikipedia,2022-12-21,405334
sk.wikipedia,2022-12-22,335874
sk.wikipedia,2022-12-23,315522
sk.wikipedia,2022-12-24,358176
sk.wikipedia,2022-12-25,451128
sk.wikipedia,2022-12-26,452851
sk.wikipedia,2022-12-27,429993
sk.wikipedia,2022-12-28,444078
sk.wikipedia,2022-12-29,467511
sk.wikipedia,2022-12-30,456341
sk.wikipedia,2022-12-31,505462
sl.wikipedia,2022-01-01,248936
sl.wikipedia,2022-01-02,313504
sl.wikipedia,2022-01-03,316133
sl.wikipedia,2022-01-04,327012
sl.wikipedia,2022-01-05,349242
sl.wikipedia,2022-01-06,329881
sl.wikipedia,2022-01-07,286838
sl.wikipedia,2022-01-08,283502
sl.wikipedia,2022-01-09,351208
sl.wikipedia,2022-01-10,328235
sl.wikipedia,2022-01-11,318866
sl.wikipedia,2022-01-12,313885
sl.wikipedia,2022-01-13,301134
sl.wikipedia,2022-01-14,278119
sl.wikipedia,2022-01-15,265115
sl.wikipedia,2022-01-16,323704
sl.wikipedia,2022-01-17,314042
sl.wikipedia,2022-01-18,311412
sl.wikipedia,2022-01-19,315929
sl.wikipedia,2022-01-20,301337
sl.wikipedia,2022-01-21,272772
sl.wikipedia,2022-01-22,273549
sl.wikipedia,2022-01-23,320185
sl.wikipedia,2022-01-24,313162
sl.wikipedia,2022-01-25,301176
sl.wikipedia,2022-01-26,309707
sl.wikipedia,2022-01-27,297202
sl.wikipedia,2022-01-28,263544
sl.wikipedia,2022-01-29,261725
sl.wikipedia,2022-01-30,294451
sl.wikipedia,2022-01-31,314433
sl.wikipedia,2022-02-01,307770
sl.wikipedia,2022-02-02,298544
sl.wikipedia,2022-02-03,293023
sl.wikipedia,2022-02-04,271003
sl.wikipedia,2022-02-05,260631
sl.wikipedia,2022-02-06,294308
sl.wikipedia,2022-02-07,299146
sl.wikipedia,2022-02-08,321970
sl.wikipedia,2022-02-09,292033
sl.wikipedia,2022-02-10,285345
sl.wikipedia,2022-02-11,254579
sl.wikipedia,2022-02-12,269468
sl.wikipedia,2022-02-13,324066
sl.wikipedia,2022-02-14,306009
sl.wikipedia,2022-02-15,304799
sl.wikipedia,2022-02-16,279640
sl.wikipedia,2022-02-17,274531
sl.wikipedia,2022-02-18,236936
sl.wikipedia,2022-02-19,265633
sl.wikipedia,2022-02-20,276078
sl.wikipedia,2022-02-21,278430
sl.wikipedia,2022-02-22,273688
sl.wikipedia,2022-02-23,339713
sl.wikipedia,2022-02-24,385221
sl.wikipedia,2022-02-25,353006
sl.wikipedia,2022-02-26,340462
sl.wikipedia,2022-02-27,402950
sl.wikipedia,2022-02-28,353635
sl.wikipedia,2022-03-01,325139
sl.wikipedia,2022-03-02,358633
sl.wikipedia,2022-03-03,334439
sl.wikipedia,2022-03-04,317143
sl.wikipedia,2022-03-05,310363
sl.wikipedia,2022-03-06,340377
sl.wikipedia,2022-03-07,320218
sl.wikipedia,2022-03-08,292430
sl.wikipedia,2022-03-09,290004
sl.wikipedia,2022-03-10,289678
sl.wikipedia,2022-03-11,251262
sl.wikipedia,2022-03-12,298629
sl.wikipedia,2022-03-13,300402
sl.wikipedia,2022-03-14,307684
sl.wikipedia,2022-03-15,293706
sl.wikipedia,2022-03-16,284802
sl.wikipedia,2022-03-17,275800
sl.wikipedia,2022-03-18,233170
sl.wikipedia,2022-03-19,238041
sl.wikipedia,2022-03-20,287356
sl.wikipedia,2022-03-21,282776
sl.wikipedia,2022-03-22,279228
sl.wikipedia,2022-03-23,263296
sl.wikipedia,2022-03-24,254775
sl.wikipedia,2022-03-25,226762
sl.wikipedia,2022-03-26,217673
sl.wikipedia,2022-03-27,256044
sl.wikipedia,2022-03-28,268416
sl.wikipedia,2022-03-29,273492
sl.wikipedia,2022-03-30,281907
sl.wikipedia,2022-03-31,283897
sl.wikipedia,2022-04-01,231712
sl.wikipedia,2022-04-02,260256
sl.wikipedia,2022-04-03,294221
sl.wikipedia,2022-04-04,298100
sl.wikipedia,2022-04-05,266542
sl.wikipedia,2022-04-06,250821
sl.wikipedia,2022-04-07,261132
sl.wikipedia,2022-04-08,235598
sl.wikipedia,2022-04-09,254723
sl.wikipedia,2022-04-10,281230
sl.wikipedia,2022-04-11,293323
sl.wikipedia,2022-04-12,279616
sl.wikipedia,2022-04-13,270476
sl.wikipedia,2022-04-14,259151
sl.wikipedia,2022-04-15,236936
sl.wikipedia,2022-04-16,228580
sl.wikipedia,2022-04-17,276442
sl.wikipedia,2022-04-18,308714
sl.wikipedia,2022-04-19,330282
sl.wikipedia,2022-04-20,293004
sl.wikipedia,2022-04-21,283295
sl.wikipedia,2022-04-22,271160
sl.wikipedia,2022-04-23,261951
sl.wikipedia,2022-04-24,408563
sl.wikipedia,2022-04-25,321441
sl.wikipedia,2022-04-26,273299
sl.wikipedia,2022-04-27,257598
sl.wikipedia,2022-04-28,219590
sl.wikipedia,2022-04-29,209740
sl.wikipedia,2022-04-30,192260
sl.wikipedia,2022-05-01,262131
sl.wikipedia,2022-05-02,296597
sl.wikipedia,2022-05-03,269903
sl.wikipedia,2022-05-04,261690
sl.wikipedia,2022-05-05,260817
sl.wikipedia,2022-05-06,255091
sl.wikipedia,2022-05-07,265839
sl.wikipedia,2022-05-08,298728
sl.wikipedia,2022-05-09,287485
sl.wikipedia,2022-05-10,279096
sl.wikipedia,2022-05-11,268595
sl.wikipedia,2022-05-12,261080
sl.wikipedia,2022-05-13,225957
sl.wikipedia,2022-05-14,227113
sl.wikipedia,2022-05-15,270550
sl.wikipedia,2022-05-16,289551
sl.wikipedia,2022-05-17,285696
sl.wikipedia,2022-05-18,261820
sl.wikipedia,2022-05-19,244365
sl.wikipedia,2022-05-20,203362
sl.wikipedia,2022-05-21,207244
sl.wikipedia,2022-05-22,261940
sl.wikipedia,2022-05-23,275743
sl.wikipedia,2022-05-24,280064
sl.wikipedia,2022-05-25,274389
sl.wikipedia,2022-05-26,260478
sl.wikipedia,2022-05-27,212529
sl.wikipedia,2022-05-28,252208
sl.wikipedia,2022-05-29,309149
sl.wikipedia,2022-05-30,303238
sl.wikipedia,2022-05-31,281432
sl.wikipedia,2022-06-01,264184
sl.wikipedia,2022-06-02,257820
sl.wikipedia,2022-06-03,222682
sl.wikipedia,2022-06-04,200993
sl.wikipedia,2022-06-05,263449
sl.wikipedia,2022-06-06,274627
sl.wikipedia,2022-06-07,281046
sl.wikipedia,2022-06-08,268994
sl.wikipedia,2022-06-09,265222
sl.wikipedia,2022-06-10,222227
sl.wikipedia,2022-06-11,199451
sl.wikipedia,2022-06-12,242562
sl.wikipedia,2022-06-13,255058
sl.wikipedia,2022-06-14,248718
sl.wikipedia,2022-06-15,224807
sl.wikipedia,2022-06-16,223275
sl.wikipedia,2022-06-17,191317
sl.wikipedia,2022-06-18,195682
sl.wikipedia,2022-06-19,199499
sl.wikipedia,2022-06-20,200833
sl.wikipedia,2022-06-21,198880
sl.wikipedia,2022-06-22,195275
sl.wikipedia,2022-06-23,189424
sl.wikipedia,2022-06-24,173841
sl.wikipedia,2022-06-25,183382
sl.wikipedia,2022-06-26,185047
sl.wikipedia,2022-06-27,192044
sl.wikipedia,2022-06-28,192023
sl.wikipedia,2022-06-29,184927
sl.wikipedia,2022-06-30,176092
sl.wikipedia,2022-07-01,166237
sl.wikipedia,2022-07-02,166038
sl.wikipedia,2022-07-03,173419
sl.wikipedia,2022-07-04,177969
sl.wikipedia,2022-07-05,177996
sl.wikipedia,2022-07-06,182967
sl.wikipedia,2022-07-07,184181
sl.wikipedia,2022-07-08,169776
sl.wikipedia,2022-07-09,171066
sl.wikipedia,2022-07-10,188164
sl.wikipedia,2022-07-11,178238
sl.wikipedia,2022-07-12,178334
sl.wikipedia,2022-07-13,165006
sl.wikipedia,2022-07-14,169719
sl.wikipedia,2022-07-15,171274
sl.wikipedia,2022-07-16,167973
sl.wikipedia,2022-07-17,181737
sl.wikipedia,2022-07-18,163587
sl.wikipedia,2022-07-19,165808
sl.wikipedia,2022-07-20,170767
sl.wikipedia,2022-07-21,170327
sl.wikipedia,2022-07-22,167396
sl.wikipedia,2022-07-23,167890
sl.wikipedia,2022-07-24,177672
sl.wikipedia,2022-07-25,174582
sl.wikipedia,2022-07-26,187639
sl.wikipedia,2022-07-27,176009
sl.wikipedia,2022-07-28,163288
sl.wikipedia,2022-07-29,160424
sl.wikipedia,2022-07-30,176196
sl.wikipedia,2022-07-31,171375
sl.wikipedia,2022-08-01,179810
sl.wikipedia,2022-08-02,182361
sl.wikipedia,2022-08-03,172182
sl.wikipedia,2022-08-04,169139
sl.wikipedia,2022-08-05,166616
sl.wikipedia,2022-08-06,161162
sl.wikipedia,2022-08-07,186642
sl.wikipedia,2022-08-08,179440
sl.wikipedia,2022-08-09,171241
sl.wikipedia,2022-08-10,180045
sl.wikipedia,2022-08-11,177031
sl.wikipedia,2022-08-12,178110
sl.wikipedia,2022-08-13,182436
sl.wikipedia,2022-08-14,192284
sl.wikipedia,2022-08-15,199333
sl.wikipedia,2022-08-16,182563
sl.wikipedia,2022-08-17,177885
sl.wikipedia,2022-08-18,172911
sl.wikipedia,2022-08-19,179998
sl.wikipedia,2022-08-20,174388
sl.wikipedia,2022-08-21,203231
sl.wikipedia,2022-08-22,190214
sl.wikipedia,2022-08-23,179462
sl.wikipedia,2022-08-24,174750
sl.wikipedia,2022-08-25,168859
sl.wikipedia,2022-08-26,166394
sl.wikipedia,2022-08-27,164698
sl.wikipedia,2022-08-28,202105
sl.wikipedia,2022-08-29,183367
sl.wikipedia,2022-08-30,178679
sl.wikipedia,2022-08-31,177429
sl.wikipedia,2022-09-01,177619
sl.wikipedia,2022-09-02,172920
sl.wikipedia,2022-09-03,170819
sl.wikipedia,2022-09-04,200173
sl.wikipedia,2022-09-05,204331
sl.wikipedia,2022-09-06,215463
sl.wikipedia,2022-09-07,221389
sl.wikipedia,2022-09-08,245120
sl.wikipedia,2022-09-09,240033
sl.wikipedia,2022-09-10,196738
sl.wikipedia,2022-09-11,228196
sl.wikipedia,2022-09-12,213819
sl.wikipedia,2022-09-13,209025
sl.wikipedia,2022-09-14,210625
sl.wikipedia,2022-09-15,228372
sl.wikipedia,2022-09-16,211042
sl.wikipedia,2022-09-17,223065
sl.wikipedia,2022-09-18,218390
sl.wikipedia,2022-09-19,239591
sl.wikipedia,2022-09-20,219306
sl.wikipedia,2022-09-21,214170
sl.wikipedia,2022-09-22,199492
sl.wikipedia,2022-09-23,179736
sl.wikipedia,2022-09-24,192097
sl.wikipedia,2022-09-25,248732
sl.wikipedia,2022-09-26,225477
sl.wikipedia,2022-09-27,236653
sl.wikipedia,2022-09-28,217119
sl.wikipedia,2022-09-29,225431
sl.wikipedia,2022-09-30,200407
sl.wikipedia,2022-10-01,198264
sl.wikipedia,2022-10-02,225854
sl.wikipedia,2022-10-03,218035
sl.wikipedia,2022-10-04,217711
sl.wikipedia,2022-10-05,220120
sl.wikipedia,2022-10-06,215609
sl.wikipedia,2022-10-07,205144
sl.wikipedia,2022-10-08,198732
sl.wikipedia,2022-10-09,245241
sl.wikipedia,2022-10-10,234500
sl.wikipedia,2022-10-11,244159
sl.wikipedia,2022-10-12,232764
sl.wikipedia,2022-10-13,223162
sl.wikipedia,2022-10-14,197916
sl.wikipedia,2022-10-15,211663
sl.wikipedia,2022-10-16,236171
sl.wikipedia,2022-10-17,240566
sl.wikipedia,2022-10-18,241891
sl.wikipedia,2022-10-19,230362
sl.wikipedia,2022-10-20,238690
sl.wikipedia,2022-10-21,214926
sl.wikipedia,2022-10-22,258815
sl.wikipedia,2022-10-23,306029
sl.wikipedia,2022-10-24,261330
sl.wikipedia,2022-10-25,267963
sl.wikipedia,2022-10-26,254403
sl.wikipedia,2022-10-27,223118
sl.wikipedia,2022-10-28,232291
sl.wikipedia,2022-10-29,192099
sl.wikipedia,2022-10-30,217614
sl.wikipedia,2022-10-31,230410
sl.wikipedia,2022-11-01,233136
sl.wikipedia,2022-11-02,220423
sl.wikipedia,2022-11-03,234797
sl.wikipedia,2022-11-04,237347
sl.wikipedia,2022-11-05,242939
sl.wikipedia,2022-11-06,290020
sl.wikipedia,2022-11-07,258032
sl.wikipedia,2022-11-08,259649
sl.wikipedia,2022-11-09,262200
sl.wikipedia,2022-11-10,264314
sl.wikipedia,2022-11-11,219998
sl.wikipedia,2022-11-12,247225
sl.wikipedia,2022-11-13,348870
sl.wikipedia,2022-11-14,301677
sl.wikipedia,2022-11-15,266045
sl.wikipedia,2022-11-16,277505
sl.wikipedia,2022-11-17,247755
sl.wikipedia,2022-11-18,237336
sl.wikipedia,2022-11-19,234907
sl.wikipedia,2022-11-20,309538
sl.wikipedia,2022-11-21,287822
sl.wikipedia,2022-11-22,277354
sl.wikipedia,2022-11-23,277620
sl.wikipedia,2022-11-24,266396
sl.wikipedia,2022-11-25,220570
sl.wikipedia,2022-11-26,229326
sl.wikipedia,2022-11-27,290541
sl.wikipedia,2022-11-28,272188
sl.wikipedia,2022-11-29,281278
sl.wikipedia,2022-11-30,263669
sl.wikipedia,2022-12-01,257485
sl.wikipedia,2022-12-02,206786
sl.wikipedia,2022-12-03,233686
sl.wikipedia,2022-12-04,273277
sl.wikipedia,2022-12-05,243219
sl.wikipedia,2022-12-06,258739
sl.wikipedia,2022-12-07,241417
sl.wikipedia,2022-12-08,246138
sl.wikipedia,2022-12-09,212142
sl.wikipedia,2022-12-10,243457
sl.wikipedia,2022-12-11,266758
sl.wikipedia,2022-12-12,245969
sl.wikipedia,2022-12-13,269376
sl.wikipedia,2022-12-14,247136
sl.wikipedia,2022-12-15,225691
sl.wikipedia,2022-12-16,195557
sl.wikipedia,2022-12-17,208207
sl.wikipedia,2022-12-18,252151
sl.wikipedia,2022-12-19,241332
sl.wikipedia,2022-12-20,231533
sl.wikipedia,2022-12-21,226635
sl.wikipedia,2022-12-22,183953
sl.wikipedia,2022-12-23,159922
sl.wikipedia,2022-12-24,173588
sl.wikipedia,2022-12-25,207684
sl.wikipedia,2022-12-26,237316
sl.wikipedia,2022-12-27,213006
sl.wikipedia,2022-12-28,203893
sl.wikipedia,2022-12-29,197569
sl.wikipedia,2022-12-30,209903
sl.wikipedia,2022-12-31,208869
sr.wikipedia,2022-01-01,1165760
sr.wikipedia,2022-01-02,1116707
sr.wikipedia,2022-01-03,992596
sr.wikipedia,2022-01-04,988374
sr.wikipedia,2022-01-05,933319
sr.wikipedia,2022-01-06,1041378
sr.wikipedia,2022-01-07,1243625
sr.wikipedia,2022-01-08,1172492
sr.wikipedia,2022-01-09,1209601
sr.wikipedia,2022-01-10,1063343
sr.wikipedia,2022-01-11,1037024
sr.wikipedia,2022-01-12,1002908
sr.wikipedia,2022-01-13,1014090
sr.wikipedia,2022-01-14,973871
sr.wikipedia,2022-01-15,1001811
sr.wikipedia,2022-01-16,1080949
sr.wikipedia,2022-01-17,986471
sr.wikipedia,2022-01-18,1005863
sr.wikipedia,2022-01-19,958587
sr.wikipedia,2022-01-20,1003197
sr.wikipedia,2022-01-21,965954
sr.wikipedia,2022-01-22,1062525
sr.wikipedia,2022-01-23,1169716
