project,page_title,date,pageviews
zh-yue.wikipedia,頭刺,2022-02-14,0
zh-yue.wikipedia,頭刺,2022-02-15,0
zh-yue.wikipedia,頭刺,2022-02-16,1
zh-yue.wikipedia,頭刺,2022-02-17,0
zh-yue.wikipedia,頭刺,2022-02-18,0
zh-yue.wikipedia,頭刺,2022-02-19,1
zh-yue.wikipedia,頭刺,2022-02-20,0
zh-yue.wikipedia,頭刺,2022-02-21,2
zh-yue.wikipedia,頭刺,2022-02-22,0
zh-yue.wikipedia,頭刺,2022-02-23,0
zh-yue.wikipedia,頭刺,2022-02-24,1
zh-yue.wikipedia,頭刺,2022-02-25,1
zh-yue.wikipedia,頭刺,2022-02-26,0
zh-yue.wikipedia,頭刺,2022-02-27,0
zh-yue.wikipedia,頭刺,2022-02-28,0
zh-yue.wikipedia,頭刺,2022-03-01,2
zh-yue.wikipedia,頭刺,2022-03-02,0
zh-yue.wikipedia,頭刺,2022-03-03,0
zh-yue.wikipedia,頭刺,2022-03-04,0
zh-yue.wikipedia,頭刺,2022-03-05,0
zh-yue.wikipedia,頭刺,2022-03-06,0
zh-yue.wikipedia,頭刺,2022-03-07,0
zh-yue.wikipedia,頭刺,2022-03-08,0
zh-yue.wikipedia,頭刺,2022-03-09,0
zh-yue.wikipedia,頭刺,2022-03-10,1
zh-yue.wikipedia,頭刺,2022-03-11,0
zh-yue.wikipedia,頭刺,2022-03-12,1
zh-yue.wikipedia,頭刺,2022-03-13,1
zh-yue.wikipedia,頭刺,2022-03-14,2
zh-yue.wikipedia,頭刺,2022-03-15,0
zh-yue.wikipedia,頭刺,2022-03-16,2
zh-yue.wikipedia,頭刺,2022-03-17,2
zh-yue.wikipedia,頭刺,2022-03-18,0
zh-yue.wikipedia,頭刺,2022-03-19,0
zh-yue.wikipedia,頭刺,2022-03-20,0
zh-yue.wikipedia,頭刺,2022-03-21,3
zh-yue.wikipedia,頭刺,2022-03-22,2
zh-yue.wikipedia,頭刺,2022-03-23,0
zh-yue.wikipedia,頭刺,2022-03-24,0
zh-yue.wikipedia,頭刺,2022-03-25,1
zh-yue.wikipedia,頭刺,2022-03-26,0
zh-yue.wikipedia,頭刺,2022-03-27,0
zh-yue.wikipedia,頭刺,2022-03-28,1
zh-yue.wikipedia,頭刺,2022-03-29,1
zh-yue.wikipedia,頭刺,2022-03-30,1
zh-yue.wikipedia,頭刺,2022-03-31,0
zh-yue.wikipedia,頭刺,2022-04-01,3
zh-yue.wikipedia,頭刺,2022-04-02,0
zh-yue.wikipedia,頭刺,2022-04-03,0
zh-yue.wikipedia,頭刺,2022-04-04,3
zh-yue.wikipedia,頭刺,2022-04-05,0
zh-yue.wikipedia,頭刺,2022-04-06,3
zh-yue.wikipedia,頭刺,2022-04-07,2
zh-yue.wikipedia,頭刺,2022-04-08,1
zh-yue.wikipedia,頭刺,2022-04-09,0
zh-yue.wikipedia,頭刺,2022-04-10,0
zh-yue.wikipedia,頭刺,2022-04-11,1
zh-yue.wikipedia,頭刺,2022-04-12,0
zh-yue.wikipedia,頭刺,2022-04-13,0
zh-yue.wikipedia,頭刺,2022-04-14,0
zh-yue.wikipedia,頭刺,2022-04-15,1
zh-yue.wikipedia,頭刺,2022-04-16,2
zh-yue.wikipedia,頭刺,2022-04-17,0
zh-yue.wikipedia,頭刺,2022-04-18,0
zh-yue.wikipedia,頭刺,2022-04-19,4
zh-yue.wikipedia,頭刺,2022-04-20,1
zh-yue.wikipedia,頭刺,2022-04-21,1
zh-yue.wikipedia,頭刺,2022-04-22,1
zh-yue.wikipedia,頭刺,2022-04-23,1
zh-yue.wikipedia,頭刺,2022-04-25,2
zh-yue.wikipedia,頭刺,2022-04-26,0
zh-yue.wikipedia,頭刺,2022-04-27,0
zh-yue.wikipedia,頭刺,2022-04-28,2
zh-yue.wikipedia,頭刺,2022-04-29,0
zh-yue.wikipedia,頭刺,2022-04-30,3
zh-yue.wikipedia,頭刺,2022-05-01,0
zh-yue.wikipedia,頭刺,2022-05-02,0
zh-yue.wikipedia,頭刺,2022-05-03,1
zh-yue.wikipedia,頭刺,2022-05-04,0
zh-yue.wikipedia,頭刺,2022-05-05,0
zh-yue.wikipedia,頭刺,2022-05-06,1
zh-yue.wikipedia,頭刺,2022-05-07,0
zh-yue.wikipedia,頭刺,2022-05-08,2
zh-yue.wikipedia,頭刺,2022-05-09,1
zh-yue.wikipedia,頭刺,2022-05-10,2
zh-yue.wikipedia,頭刺,2022-05-11,0
zh-yue.wikipedia,頭刺,2022-05-12,0
zh-yue.wikipedia,頭刺,2022-05-13,1
zh-yue.wikipedia,頭刺,2022-05-14,0
zh-yue.wikipedia,頭刺,2022-05-15,1
zh-yue.wikipedia,頭刺,2022-05-16,0
zh-yue.wikipedia,頭刺,2022-05-17,0
zh-yue.wikipedia,頭刺,2022-05-18,1
zh-yue.wikipedia,頭刺,2022-05-19,0
zh-yue.wikipedia,頭刺,2022-05-20,0
zh-yue.wikipedia,頭刺,2022-05-21,1
zh-yue.wikipedia,頭刺,2022-05-22,0
zh-yue.wikipedia,頭刺,2022-05-23,0
zh-yue.wikipedia,頭刺,2022-05-24,2
zh-yue.wikipedia,頭刺,2022-05-25,0
zh-yue.wikipedia,頭刺,2022-05-26,0
zh-yue.wikipedia,頭刺,2022-05-27,1
zh-yue.wikipedia,頭刺,2022-05-28,0
zh-yue.wikipedia,頭刺,2022-05-29,0
zh-yue.wikipedia,頭刺,2022-05-30,1
zh-yue.wikipedia,頭刺,2022-05-31,0
zh-yue.wikipedia,頭刺,2022-06-01,1
zh-yue.wikipedia,頭刺,2022-06-02,2
zh-yue.wikipedia,頭刺,2022-06-03,0
zh-yue.wikipedia,頭刺,2022-06-04,0
zh-yue.wikipedia,頭刺,2022-06-05,3
zh-yue.wikipedia,頭刺,2022-06-06,2
zh-yue.wikipedia,頭刺,2022-06-07,1
zh-yue.wikipedia,頭刺,2022-06-08,1
zh-yue.wikipedia,頭刺,2022-06-09,2
zh-yue.wikipedia,頭刺,2022-06-10,1
zh-yue.wikipedia,頭刺,2022-06-12,2
zh-yue.wikipedia,頭刺,2022-06-13,0
zh-yue.wikipedia,頭刺,2022-06-14,0
zh-yue.wikipedia,頭刺,2022-06-15,0
zh-yue.wikipedia,頭刺,2022-06-16,0
zh-yue.wikipedia,頭刺,2022-06-17,0
zh-yue.wikipedia,頭刺,2022-06-18,0
zh-yue.wikipedia,頭刺,2022-06-19,0
zh-yue.wikipedia,頭刺,2022-06-20,3
zh-yue.wikipedia,頭刺,2022-06-21,0
zh-yue.wikipedia,頭刺,2022-06-22,1
zh-yue.wikipedia,頭刺,2022-06-23,3
zh-yue.wikipedia,頭刺,2022-06-24,0
zh-yue.wikipedia,頭刺,2022-06-25,1
zh-yue.wikipedia,頭刺,2022-06-26,0
zh-yue.wikipedia,頭刺,2022-06-27,0
zh-yue.wikipedia,頭刺,2022-06-28,0
zh-yue.wikipedia,頭刺,2022-06-29,0
zh-yue.wikipedia,頭刺,2022-06-30,0
zh-yue.wikipedia,頭刺,2022-07-01,0
zh-yue.wikipedia,頭刺,2022-07-02,0
zh-yue.wikipedia,頭刺,2022-07-03,1
zh-yue.wikipedia,頭刺,2022-07-04,0
zh-yue.wikipedia,頭刺,2022-07-05,0
zh-yue.wikipedia,頭刺,2022-07-06,1
zh-yue.wikipedia,頭刺,2022-07-07,0
zh-yue.wikipedia,頭刺,2022-07-08,0
zh-yue.wikipedia,頭刺,2022-07-09,0
zh-yue.wikipedia,頭刺,2022-07-10,5
zh-yue.wikipedia,頭刺,2022-07-11,0
zh-yue.wikipedia,頭刺,2022-07-12,0
zh-yue.wikipedia,頭刺,2022-07-13,0
zh-yue.wikipedia,頭刺,2022-07-14,1
zh-yue.wikipedia,頭刺,2022-07-15,0
zh-yue.wikipedia,頭刺,2022-07-16,0
zh-yue.wikipedia,頭刺,2022-07-18,0
zh-yue.wikipedia,頭刺,2022-07-19,0
zh-yue.wikipedia,頭刺,2022-07-20,0
zh-yue.wikipedia,頭刺,2022-07-21,0
zh-yue.wikipedia,頭刺,2022-07-22,0
zh-yue.wikipedia,頭刺,2022-07-23,0
zh-yue.wikipedia,頭刺,2022-07-24,0
zh-yue.wikipedia,頭刺,2022-07-26,0
zh-yue.wikipedia,頭刺,2022-07-27,0
zh-yue.wikipedia,頭刺,2022-07-28,1
zh-yue.wikipedia,頭刺,2022-07-29,0
zh-yue.wikipedia,頭刺,2022-07-30,0
zh-yue.wikipedia,頭刺,2022-07-31,0
zh-yue.wikipedia,頭刺,2022-08-01,0
zh-yue.wikipedia,頭刺,2022-08-02,0
zh-yue.wikipedia,頭刺,2022-08-03,0
zh-yue.wikipedia,頭刺,2022-08-05,2
zh-yue.wikipedia,頭刺,2022-08-06,0
zh-yue.wikipedia,頭刺,2022-08-07,0
zh-yue.wikipedia,頭刺,2022-08-08,0
zh-yue.wikipedia,頭刺,2022-08-09,0
zh-yue.wikipedia,頭刺,2022-08-10,1
zh-yue.wikipedia,頭刺,2022-08-11,0
zh-yue.wikipedia,頭刺,2022-08-12,0
zh-yue.wikipedia,頭刺,2022-08-13,0
zh-yue.wikipedia,頭刺,2022-08-14,1
zh-yue.wikipedia,頭刺,2022-08-15,1
zh-yue.wikipedia,頭刺,2022-08-16,0
zh-yue.wikipedia,頭刺,2022-08-17,0
zh-yue.wikipedia,頭刺,2022-08-18,0
zh-yue.wikipedia,頭刺,2022-08-19,0
zh-yue.wikipedia,頭刺,2022-08-20,2
zh-yue.wikipedia,頭刺,2022-08-22,0
zh-yue.wikipedia,頭刺,2022-08-23,0
zh-yue.wikipedia,頭刺,2022-08-24,0
zh-yue.wikipedia,頭刺,2022-08-25,0
zh-yue.wikipedia,頭刺,2022-08-27,0
zh-yue.wikipedia,頭刺,2022-08-28,0
zh-yue.wikipedia,頭刺,2022-08-29,0
zh-yue.wikipedia,頭刺,2022-08-30,0
zh-yue.wikipedia,頭刺,2022-08-31,0
zh-yue.wikipedia,頭刺,2022-09-01,0
zh-yue.wikipedia,頭刺,2022-09-02,0
zh-yue.wikipedia,頭刺,2022-09-03,1
zh-yue.wikipedia,頭刺,2022-09-04,3
zh-yue.wikipedia,頭刺,2022-09-06,0
zh-yue.wikipedia,頭刺,2022-09-07,0
zh-yue.wikipedia,頭刺,2022-09-08,1
zh-yue.wikipedia,頭刺,2022-09-09,0
zh-yue.wikipedia,頭刺,2022-09-10,4
zh-yue.wikipedia,頭刺,2022-09-11,0
zh-yue.wikipedia,頭刺,2022-09-12,2
zh-yue.wikipedia,頭刺,2022-09-13,2
zh-yue.wikipedia,頭刺,2022-09-14,1
zh-yue.wikipedia,頭刺,2022-09-15,0
zh-yue.wikipedia,頭刺,2022-09-16,0
zh-yue.wikipedia,頭刺,2022-09-17,0
zh-yue.wikipedia,頭刺,2022-09-18,1
zh-yue.wikipedia,頭刺,2022-09-19,0
zh-yue.wikipedia,頭刺,2022-09-20,2
zh-yue.wikipedia,頭刺,2022-09-21,0
zh-yue.wikipedia,頭刺,2022-09-22,0
zh-yue.wikipedia,頭刺,2022-09-23,1
zh-yue.wikipedia,頭刺,2022-09-24,0
zh-yue.wikipedia,頭刺,2022-09-25,0
zh-yue.wikipedia,頭刺,2022-09-26,0
zh-yue.wikipedia,頭刺,2022-09-27,0
zh-yue.wikipedia,頭刺,2022-09-28,0
zh-yue.wikipedia,頭刺,2022-09-29,0
zh-yue.wikipedia,頭刺,2022-09-30,0
zh-yue.wikipedia,頭刺,2022-10-01,0
zh-yue.wikipedia,頭刺,2022-10-02,0
zh-yue.wikipedia,頭刺,2022-10-03,1
zh-yue.wikipedia,頭刺,2022-10-04,1
zh-yue.wikipedia,頭刺,2022-10-05,2
zh-yue.wikipedia,頭刺,2022-10-06,1
zh-yue.wikipedia,頭刺,2022-10-07,0
zh-yue.wikipedia,頭刺,2022-10-08,0
zh-yue.wikipedia,頭刺,2022-10-09,3
zh-yue.wikipedia,頭刺,2022-10-10,0
zh-yue.wikipedia,頭刺,2022-10-11,1
zh-yue.wikipedia,頭刺,2022-10-12,0
zh-yue.wikipedia,頭刺,2022-10-13,2
zh-yue.wikipedia,頭刺,2022-10-14,0
zh-yue.wikipedia,頭刺,2022-10-16,0
zh-yue.wikipedia,頭刺,2022-10-17,0
zh-yue.wikipedia,頭刺,2022-10-18,0
zh-yue.wikipedia,頭刺,2022-10-19,1
zh-yue.wikipedia,頭刺,2022-10-20,1
zh-yue.wikipedia,頭刺,2022-10-21,0
zh-yue.wikipedia,頭刺,2022-10-22,0
zh-yue.wikipedia,頭刺,2022-10-23,0
zh-yue.wikipedia,頭刺,2022-10-24,0
zh-yue.wikipedia,頭刺,2022-10-25,0
zh-yue.wikipedia,頭刺,2022-10-26,0
zh-yue.wikipedia,頭刺,2022-10-27,0
zh-yue.wikipedia,頭刺,2022-10-28,0
zh-yue.wikipedia,頭刺,2022-10-29,0
zh-yue.wikipedia,頭刺,2022-10-30,1
zh-yue.wikipedia,頭刺,2022-10-31,0
zh-yue.wikipedia,頭刺,2022-11-01,0
zh-yue.wikipedia,頭刺,2022-11-02,0
zh-yue.wikipedia,頭刺,2022-11-03,0
zh-yue.wikipedia,頭刺,2022-11-04,0
zh-yue.wikipedia,頭刺,2022-11-05,1
zh-yue.wikipedia,頭刺,2022-11-06,0
zh-yue.wikipedia,頭刺,2022-11-07,0
zh-yue.wikipedia,頭刺,2022-11-08,0
zh-yue.wikipedia,頭刺,2022-11-09,0
zh-yue.wikipedia,頭刺,2022-11-10,1
zh-yue.wikipedia,頭刺,2022-11-11,0
zh-yue.wikipedia,頭刺,2022-11-12,0
zh-yue.wikipedia,頭刺,2022-11-13,1
zh-yue.wikipedia,頭刺,2022-11-14,0
zh-yue.wikipedia,頭刺,2022-11-15,1
zh-yue.wikipedia,頭刺,2022-11-16,0
zh-yue.wikipedia,頭刺,2022-11-17,0
zh-yue.wikipedia,頭刺,2022-11-18,1
zh-yue.wikipedia,頭刺,2022-11-19,0
zh-yue.wikipedia,頭刺,2022-11-21,0
zh-yue.wikipedia,頭刺,2022-11-22,0
zh-yue.wikipedia,頭刺,2022-11-23,2
zh-yue.wikipedia,頭刺,2022-11-25,0
zh-yue.wikipedia,頭刺,2022-11-27,0
zh-yue.wikipedia,頭刺,2022-11-28,0
zh-yue.wikipedia,頭刺,2022-11-29,0
zh-yue.wikipedia,頭刺,2022-11-30,0
zh-yue.wikipedia,頭刺,2022-12-01,0
zh-yue.wikipedia,頭刺,2022-12-02,3
zh-yue.wikipedia,頭刺,2022-12-03,0
zh-yue.wikipedia,頭刺,2022-12-04,0
zh-yue.wikipedia,頭刺,2022-12-05,2
zh-yue.wikipedia,頭刺,2022-12-06,0
zh-yue.wikipedia,頭刺,2022-12-07,1
zh-yue.wikipedia,頭刺,2022-12-08,0
zh-yue.wikipedia,頭刺,2022-12-09,0
zh-yue.wikipedia,頭刺,2022-12-10,0
zh-yue.wikipedia,頭刺,2022-12-11,2
zh-yue.wikipedia,頭刺,2022-12-12,0
zh-yue.wikipedia,頭刺,2022-12-14,0
zh-yue.wikipedia,頭刺,2022-12-15,0
zh-yue.wikipedia,頭刺,2022-12-16,0
zh-yue.wikipedia,頭刺,2022-12-17,0
zh-yue.wikipedia,頭刺,2022-12-19,0
zh-yue.wikipedia,頭刺,2022-12-20,1
zh-yue.wikipedia,頭刺,2022-12-21,0
zh-yue.wikipedia,頭刺,2022-12-23,0
zh-yue.wikipedia,頭刺,2022-12-24,1
zh-yue.wikipedia,頭刺,2022-12-25,0
zh-yue.wikipedia,頭刺,2022-12-26,1
zh-yue.wikipedia,頭刺,2022-12-27,0
zh-yue.wikipedia,頭刺,2022-12-28,0
zh-yue.wikipedia,頭刺,2022-12-29,0
zh-yue.wikipedia,頭刺,2022-12-30,1
zh-yue.wikipedia,頭刺,2022-12-31,0
zh-yue.wikipedia,病變,2022-01-01,0
zh-yue.wikipedia,病變,2022-01-02,0
zh-yue.wikipedia,病變,2022-01-03,0
zh-yue.wikipedia,病變,2022-01-04,2
zh-yue.wikipedia,病變,2022-01-05,0
zh-yue.wikipedia,病變,2022-01-06,1
zh-yue.wikipedia,病變,2022-01-08,1
zh-yue.wikipedia,病變,2022-01-09,1
zh-yue.wikipedia,病變,2022-01-10,3
zh-yue.wikipedia,病變,2022-01-11,1
zh-yue.wikipedia,病變,2022-01-12,0
zh-yue.wikipedia,病變,2022-01-14,0
zh-yue.wikipedia,病變,2022-01-15,0
zh-yue.wikipedia,病變,2022-01-16,0
zh-yue.wikipedia,病變,2022-01-17,1
zh-yue.wikipedia,病變,2022-01-18,3
zh-yue.wikipedia,病變,2022-01-19,1
zh-yue.wikipedia,病變,2022-01-20,1
zh-yue.wikipedia,病變,2022-01-21,1
zh-yue.wikipedia,病變,2022-01-22,1
zh-yue.wikipedia,病變,2022-01-23,0
zh-yue.wikipedia,病變,2022-01-24,0
zh-yue.wikipedia,病變,2022-01-25,0
zh-yue.wikipedia,病變,2022-01-26,0
zh-yue.wikipedia,病變,2022-01-27,0
zh-yue.wikipedia,病變,2022-01-28,1
zh-yue.wikipedia,病變,2022-01-29,2
zh-yue.wikipedia,病變,2022-01-30,0
zh-yue.wikipedia,病變,2022-01-31,0
zh-yue.wikipedia,病變,2022-02-01,1
zh-yue.wikipedia,病變,2022-02-02,0
zh-yue.wikipedia,病變,2022-02-04,4
zh-yue.wikipedia,病變,2022-02-05,1
zh-yue.wikipedia,病變,2022-02-06,1
zh-yue.wikipedia,病變,2022-02-07,0
zh-yue.wikipedia,病變,2022-02-08,2
zh-yue.wikipedia,病變,2022-02-09,0
zh-yue.wikipedia,病變,2022-02-10,0
zh-yue.wikipedia,病變,2022-02-11,1
zh-yue.wikipedia,病變,2022-02-12,0
zh-yue.wikipedia,病變,2022-02-13,2
zh-yue.wikipedia,病變,2022-02-14,1
zh-yue.wikipedia,病變,2022-02-15,0
zh-yue.wikipedia,病變,2022-02-16,0
zh-yue.wikipedia,病變,2022-02-17,0
zh-yue.wikipedia,病變,2022-02-18,0
zh-yue.wikipedia,病變,2022-02-19,0
zh-yue.wikipedia,病變,2022-02-20,2
zh-yue.wikipedia,病變,2022-02-21,0
zh-yue.wikipedia,病變,2022-02-22,1
zh-yue.wikipedia,病變,2022-02-23,0
zh-yue.wikipedia,病變,2022-02-24,1
zh-yue.wikipedia,病變,2022-02-25,0
zh-yue.wikipedia,病變,2022-02-26,0
zh-yue.wikipedia,病變,2022-02-27,0
zh-yue.wikipedia,病變,2022-02-28,1
zh-yue.wikipedia,病變,2022-03-01,1
zh-yue.wikipedia,病變,2022-03-02,2
zh-yue.wikipedia,病變,2022-03-03,0
zh-yue.wikipedia,病變,2022-03-04,0
zh-yue.wikipedia,病變,2022-03-05,0
zh-yue.wikipedia,病變,2022-03-06,0
zh-yue.wikipedia,病變,2022-03-07,0
zh-yue.wikipedia,病變,2022-03-08,0
zh-yue.wikipedia,病變,2022-03-09,0
zh-yue.wikipedia,病變,2022-03-10,0
zh-yue.wikipedia,病變,2022-03-11,0
zh-yue.wikipedia,病變,2022-03-12,0
zh-yue.wikipedia,病變,2022-03-13,0
zh-yue.wikipedia,病變,2022-03-14,0
zh-yue.wikipedia,病變,2022-03-15,0
zh-yue.wikipedia,病變,2022-03-16,1
zh-yue.wikipedia,病變,2022-03-17,1
zh-yue.wikipedia,病變,2022-03-18,0
zh-yue.wikipedia,病變,2022-03-19,0
zh-yue.wikipedia,病變,2022-03-21,0
zh-yue.wikipedia,病變,2022-03-22,2
zh-yue.wikipedia,病變,2022-03-23,0
zh-yue.wikipedia,病變,2022-03-24,0
zh-yue.wikipedia,病變,2022-03-25,1
zh-yue.wikipedia,病變,2022-03-26,1
zh-yue.wikipedia,病變,2022-03-27,0
zh-yue.wikipedia,病變,2022-03-28,0
zh-yue.wikipedia,病變,2022-03-29,2
zh-yue.wikipedia,病變,2022-03-30,0
zh-yue.wikipedia,病變,2022-03-31,0
zh-yue.wikipedia,病變,2022-04-01,1
zh-yue.wikipedia,病變,2022-04-02,0
zh-yue.wikipedia,病變,2022-04-04,0
zh-yue.wikipedia,病變,2022-04-05,0
zh-yue.wikipedia,病變,2022-04-07,1
zh-yue.wikipedia,病變,2022-04-08,0
zh-yue.wikipedia,病變,2022-04-09,1
zh-yue.wikipedia,病變,2022-04-10,1
zh-yue.wikipedia,病變,2022-04-11,1
zh-yue.wikipedia,病變,2022-04-13,0
zh-yue.wikipedia,病變,2022-04-14,1
zh-yue.wikipedia,病變,2022-04-15,0
zh-yue.wikipedia,病變,2022-04-16,0
zh-yue.wikipedia,病變,2022-04-17,0
zh-yue.wikipedia,病變,2022-04-18,0
zh-yue.wikipedia,病變,2022-04-19,1
zh-yue.wikipedia,病變,2022-04-20,1
zh-yue.wikipedia,病變,2022-04-21,1
zh-yue.wikipedia,病變,2022-04-22,1
zh-yue.wikipedia,病變,2022-04-23,2
zh-yue.wikipedia,病變,2022-04-24,1
zh-yue.wikipedia,病變,2022-04-25,0
zh-yue.wikipedia,病變,2022-04-26,1
zh-yue.wikipedia,病變,2022-04-27,1
zh-yue.wikipedia,病變,2022-04-28,2
zh-yue.wikipedia,病變,2022-04-30,0
zh-yue.wikipedia,病變,2022-05-01,1
zh-yue.wikipedia,病變,2022-05-02,0
zh-yue.wikipedia,病變,2022-05-03,0
zh-yue.wikipedia,病變,2022-05-04,0
zh-yue.wikipedia,病變,2022-05-05,1
zh-yue.wikipedia,病變,2022-05-06,0
zh-yue.wikipedia,病變,2022-05-07,0
zh-yue.wikipedia,病變,2022-05-08,0
zh-yue.wikipedia,病變,2022-05-10,0
zh-yue.wikipedia,病變,2022-05-11,0
zh-yue.wikipedia,病變,2022-05-12,2
zh-yue.wikipedia,病變,2022-05-13,1
zh-yue.wikipedia,病變,2022-05-15,1
zh-yue.wikipedia,病變,2022-05-16,1
zh-yue.wikipedia,病變,2022-05-17,1
zh-yue.wikipedia,病變,2022-05-18,2
zh-yue.wikipedia,病變,2022-05-19,0
zh-yue.wikipedia,病變,2022-05-20,0
zh-yue.wikipedia,病變,2022-05-21,0
zh-yue.wikipedia,病變,2022-05-22,0
zh-yue.wikipedia,病變,2022-05-23,1
zh-yue.wikipedia,病變,2022-05-24,2
zh-yue.wikipedia,病變,2022-05-25,2
zh-yue.wikipedia,病變,2022-05-26,0
zh-yue.wikipedia,病變,2022-05-27,0
zh-yue.wikipedia,病變,2022-05-28,0
zh-yue.wikipedia,病變,2022-05-29,3
zh-yue.wikipedia,病變,2022-05-30,0
zh-yue.wikipedia,病變,2022-05-31,0
zh-yue.wikipedia,病變,2022-06-01,1
zh-yue.wikipedia,病變,2022-06-02,1
zh-yue.wikipedia,病變,2022-06-03,0
zh-yue.wikipedia,病變,2022-06-04,1
zh-yue.wikipedia,病變,2022-06-06,1
zh-yue.wikipedia,病變,2022-06-08,1
zh-yue.wikipedia,病變,2022-06-09,4
zh-yue.wikipedia,病變,2022-06-10,0
zh-yue.wikipedia,病變,2022-06-11,0
zh-yue.wikipedia,病變,2022-06-12,0
zh-yue.wikipedia,病變,2022-06-13,0
zh-yue.wikipedia,病變,2022-06-14,0
zh-yue.wikipedia,病變,2022-06-15,0
zh-yue.wikipedia,病變,2022-06-16,1
zh-yue.wikipedia,病變,2022-06-17,1
zh-yue.wikipedia,病變,2022-06-18,4
zh-yue.wikipedia,病變,2022-06-19,0
zh-yue.wikipedia,病變,2022-06-20,1
zh-yue.wikipedia,病變,2022-06-21,0
zh-yue.wikipedia,病變,2022-06-22,2
zh-yue.wikipedia,病變,2022-06-24,1
zh-yue.wikipedia,病變,2022-06-25,0
zh-yue.wikipedia,病變,2022-06-26,0
zh-yue.wikipedia,病變,2022-06-27,0
zh-yue.wikipedia,病變,2022-06-28,0
zh-yue.wikipedia,病變,2022-06-29,0
zh-yue.wikipedia,病變,2022-06-30,0
zh-yue.wikipedia,病變,2022-07-01,0
zh-yue.wikipedia,病變,2022-07-02,0
zh-yue.wikipedia,病變,2022-07-03,1
zh-yue.wikipedia,病變,2022-07-04,0
zh-yue.wikipedia,病變,2022-07-05,0
zh-yue.wikipedia,病變,2022-07-06,0
zh-yue.wikipedia,病變,2022-07-07,1
zh-yue.wikipedia,病變,2022-07-08,0
zh-yue.wikipedia,病變,2022-07-09,0
zh-yue.wikipedia,病變,2022-07-10,1
zh-yue.wikipedia,病變,2022-07-11,0
zh-yue.wikipedia,病變,2022-07-12,0
zh-yue.wikipedia,病變,2022-07-13,0
zh-yue.wikipedia,病變,2022-07-14,0
zh-yue.wikipedia,病變,2022-07-15,0
zh-yue.wikipedia,病變,2022-07-16,1
zh-yue.wikipedia,病變,2022-07-17,1
zh-yue.wikipedia,病變,2022-07-18,3
zh-yue.wikipedia,病變,2022-07-19,0
zh-yue.wikipedia,病變,2022-07-21,1
zh-yue.wikipedia,病變,2022-07-22,1
zh-yue.wikipedia,病變,2022-07-23,0
zh-yue.wikipedia,病變,2022-07-24,0
zh-yue.wikipedia,病變,2022-07-25,0
zh-yue.wikipedia,病變,2022-07-26,0
zh-yue.wikipedia,病變,2022-07-27,1
zh-yue.wikipedia,病變,2022-07-28,2
zh-yue.wikipedia,病變,2022-07-30,1
zh-yue.wikipedia,病變,2022-07-31,1
zh-yue.wikipedia,病變,2022-08-01,1
zh-yue.wikipedia,病變,2022-08-02,0
zh-yue.wikipedia,病變,2022-08-03,0
zh-yue.wikipedia,病變,2022-08-05,0
zh-yue.wikipedia,病變,2022-08-07,0
zh-yue.wikipedia,病變,2022-08-08,0
zh-yue.wikipedia,病變,2022-08-11,1
zh-yue.wikipedia,病變,2022-08-12,2
zh-yue.wikipedia,病變,2022-08-13,2
zh-yue.wikipedia,病變,2022-08-14,1
zh-yue.wikipedia,病變,2022-08-15,0
zh-yue.wikipedia,病變,2022-08-16,0
zh-yue.wikipedia,病變,2022-08-17,0
zh-yue.wikipedia,病變,2022-08-18,0
zh-yue.wikipedia,病變,2022-08-20,0
zh-yue.wikipedia,病變,2022-08-23,0
zh-yue.wikipedia,病變,2022-08-24,1
zh-yue.wikipedia,病變,2022-08-25,0
zh-yue.wikipedia,病變,2022-08-26,1
zh-yue.wikipedia,病變,2022-08-27,0
zh-yue.wikipedia,病變,2022-08-28,0
zh-yue.wikipedia,病變,2022-08-30,1
zh-yue.wikipedia,病變,2022-08-31,0
zh-yue.wikipedia,病變,2022-09-01,1
zh-yue.wikipedia,病變,2022-09-02,2
zh-yue.wikipedia,病變,2022-09-03,0
zh-yue.wikipedia,病變,2022-09-05,0
zh-yue.wikipedia,病變,2022-09-06,0
zh-yue.wikipedia,病變,2022-09-07,2
zh-yue.wikipedia,病變,2022-09-08,2
zh-yue.wikipedia,病變,2022-09-09,0
zh-yue.wikipedia,病變,2022-09-11,0
zh-yue.wikipedia,病變,2022-09-12,0
zh-yue.wikipedia,病變,2022-09-13,1
zh-yue.wikipedia,病變,2022-09-15,1
zh-yue.wikipedia,病變,2022-09-16,1
zh-yue.wikipedia,病變,2022-09-17,0
zh-yue.wikipedia,病變,2022-09-19,1
zh-yue.wikipedia,病變,2022-09-20,2
zh-yue.wikipedia,病變,2022-09-21,1
zh-yue.wikipedia,病變,2022-09-22,0
zh-yue.wikipedia,病變,2022-09-23,3
zh-yue.wikipedia,病變,2022-09-24,0
zh-yue.wikipedia,病變,2022-09-25,1
zh-yue.wikipedia,病變,2022-09-26,1
zh-yue.wikipedia,病變,2022-09-27,0
zh-yue.wikipedia,病變,2022-09-28,1
zh-yue.wikipedia,病變,2022-09-29,0
zh-yue.wikipedia,病變,2022-09-30,0
zh-yue.wikipedia,病變,2022-10-01,1
zh-yue.wikipedia,病變,2022-10-02,3
zh-yue.wikipedia,病變,2022-10-03,1
zh-yue.wikipedia,病變,2022-10-04,1
zh-yue.wikipedia,病變,2022-10-05,1
